Country Name,Country Code,Time,Time Code,GDP per capita (current US$) [NY.GDP.PCAP.CD]
Мінімальне значення,United States,USA,1991,YR1991,24342.2589048189
Максимальне значення,United States,USA,2016,YR2016,58206.6141931844
